match_id,date,map,team_a_players,team_b_players,queue
1131972,2025-02-20,Land Nomad (Random Civs),"[692780064106086420, 580385106494095381, 635025856313557033, 697862073173934161]","[314461722817593345, 229635376212475904, 714793302582362162, 723567999784583239]",Domestic
1131961,2025-02-20,Crater,"[692780064106086420, 580385106494095381, 635025856313557033, 697862073173934161]","[314461722817593345, 229635376212475904, 714793302582362162, 723567999784583239]",Domestic
1131938,2025-02-20,Nomad (Random Civs),"[692780064106086420, 714793302582362162, 723567999784583239, 715438374357434401]","[580385106494095381, 697862073173934161, 463259002596360203, 584239778740961299]",Domestic
1131324,2025-02-19,Rage Arena(Random Civs),"[464205461407924225, 692780064106086420, 463259002596360203, 503759402206101545]","[568857045080473601, 1286707470802227285, 714793302582362162, 715438374357434401]",Domestic
1131292,2025-02-19,Rage Forest (Random Civs),"[229635376212475904, 635025856313557033, 463259002596360203, 503759402206101545]","[692780064106086420, 584450667897290784, 714793302582362162, 715438374357434401]",Domestic
1131271,2025-02-19,Enclosed (Random Civs),"[229635376212475904, 635025856313557033, 714793302582362162, 715438374357434401]","[692780064106086420, 584450667897290784, 642625499989934080, 503759402206101545]",Domestic
1131240,2025-02-19,4 lakes (Random civs),"[495896198444613643, 584450667897290784, 714793302582362162, 321600706769584128]","[229635376212475904, 725758030221934692, 463259002596360203, 642625499989934080]",Domestic
1131217,2025-02-19,Runestones( Random Civs),"[1286707470802227285, 703469910138814515, 1291708538573291523, 321600706769584128]","[495896198444613643, 584450667897290784, 463259002596360203, 715438374357434401]",Domestic
1131163,2025-02-19,Team Acropolis (Random Civs),"[495896198444613643, 229635376212475904, 463259002596360203, 321600706769584128]","[284337490712592386, 584450667897290784, 1291708538573291523, 715438374357434401]",Domestic
1130582,2025-02-18,Hideout(Random Civs),"[635025856313557033, 229635376212475904, 714793302582362162, 715438374357434401]","[1286707470802227285, 849334461773774928, 463259002596360203, 723567999784583239]",Domestic
1130561,2025-02-18,African Clearing (Random Civs),"[1286707470802227285, 401748724021329920, 463259002596360203, 715438374357434401]","[635025856313557033, 229635376212475904, 849334461773774928, 723567999784583239]",Domestic
1130531,2025-02-18,Arena (Random civs),"[495896198444613643, 401748724021329920, 463259002596360203, 642625499989934080]","[635025856313557033, 229635376212475904, 542430914836168744, 698943503509618729]",Domestic
1130517,2025-02-18,Steppe (Random Civs),"[568857045080473601, 703469910138814515, 723567999784583239, 715438374357434401]","[495896198444613643, 849334461773774928, 714793302582362162, 463259002596360203]",Domestic
1130492,2025-02-18,Arena Island (NC Zone) (Random Civs),"[495896198444613643, 401748724021329920, 849334461773774928, 463259002596360203]","[635025856313557033, 229635376212475904, 703469910138814515, 1291708538573291523]",Domestic
1129891,2025-02-17,Regicide Fortress (Random Civs),"[635025856313557033, 512487301717295104, 714793302582362162, 642625499989934080]","[229635376212475904, 401748724021329920, 723567999784583239, 715438374357434401]",Domestic
1129861,2025-02-17,Ghost Lake,"[635025856313557033, 401748724021329920, 512487301717295104, 945283728643608619]","[495896198444613643, 229635376212475904, 1291708538573291523, 321600706769584128]",Domestic
1129832,2025-02-17,Kawasan (Random Civs),"[401748724021329920, 512487301717295104, 714793302582362162, 463259002596360203]","[386965257660399619, 723567999784583239, 715438374357434401, 642625499989934080]",Domestic
1129819,2025-02-17,Land Nomad (Random Civs),"[284337490712592386, 495896198444613643, 1291708538573291523, 321600706769584128]","[635025856313557033, 229635376212475904, 695309066771365970, 945283728643608619]",Domestic
1129814,2025-02-17,Nomad (Random Civs),"[401748724021329920, 512487301717295104, 714793302582362162, 463259002596360203]","[386965257660399619, 723567999784583239, 715438374357434401, 642625499989934080]",Domestic
1129766,2025-02-17,Oasis(Random Civs),"[635025856313557033, 313042064332029952, 695309066771365970, 401748724021329920]","[386965257660399619, 495896198444613643, 463259002596360203, 321600706769584128]",Domestic
1129064,2025-02-16,Rage Arena(Random Civs),"[386965257660399619, 229635376212475904, 401748724021329920, 715438374357434401]","[284337490712592386, 635025856313557033, 512487301717295104, 714793302582362162]",Domestic
1129021,2025-02-16,Enclosed (Random Civs),"[386965257660399619, 401748724021329920, 715438374357434401, 945283728643608619]","[284337490712592386, 635025856313557033, 714793302582362162, 642625499989934080]",Domestic
1128998,2025-02-16,Migration,"[284337490712592386, 464205461407924225, 703469910138814515, 463259002596360203]","[386965257660399619, 238042803093897216, 725758030221934692, 715438374357434401]",Domestic
1128993,2025-02-16,Land Nomad (Random Civs),"[386965257660399619, 284337490712592386, 635025856313557033, 715438374357434401]","[464205461407924225, 238042803093897216, 703469910138814515, 725758030221934692]",Domestic
1128979,2025-02-16,Arabia,"[386965257660399619, 463259002596360203, 732576383208914978, 945283728643608619]","[703469910138814515, 401748724021329920, 714793302582362162, 642625499989934080]",Domestic
1128959,2025-02-16,Hill fort (Random Civs),"[386965257660399619, 401748724021329920, 715438374357434401, 732576383208914978]","[229635376212475904, 703469910138814515, 714677532665839667, 463259002596360203]",Domestic
1128943,2025-02-16,4 lakes (Random civs),"[229635376212475904, 401748724021329920, 714677532665839667, 732576383208914978]","[386965257660399619, 714793302582362162, 463259002596360203, 642625499989934080]",Domestic
1128897,2025-02-16,Hideout(Random Civs),"[314461722817593345, 522200099783311360, 463259002596360203, 642625499989934080]","[386965257660399619, 296465677114671105, 401748724021329920, 714793302582362162]",Domestic
1128883,2025-02-16,African Clearing (Random Civs),"[386965257660399619, 401748724021329920, 714793302582362162, 321600706769584128]","[314461722817593345, 463259002596360203, 715438374357434401, 584239778740961299]",Domestic
1128882,2025-02-16,Golden Lakes (Random Civs),"[386965257660399619, 401748724021329920, 463259002596360203, 715438374357434401]","[314461722817593345, 229635376212475904, 584239778740961299, 321600706769584128]",Domestic
1128859,2025-02-16,Arena (Random civs),"[229635376212475904, 401748724021329920, 714793302582362162, 463259002596360203]","[314461722817593345, 732576383208914978, 642625499989934080, 321600706769584128]",Domestic
