match_id,date,year_month,map,w1,w2,w3,w4,l1,l2,l3,l4,w1_or,w2_or,w3_or,w4_or,w1_nr,w2_nr,w3_nr,w4_nr,l1_or,l2_or,l3_or,l4_or,l1_nr,l2_nr,l3_nr,l4_nr,map_only
1007448,2024-08-15,2024-08,Land Nomad,thelivi,feedertony,Gajini,,Thiru,centurion12,thiyagup,,1586,1286,1147,0,1612,1312,1173,0,1998,1553,708,0,1972,1527,682,0,Land Nomad
1007438,2024-08-15,2024-08,African Clearing,feedertony,Gajini,,,centurion12,thiyagup,,,1273,1134,0,0,1286,1147,0,0,1566,721,0,0,1553,708,0,0,African Clearing
1007383,2024-08-15,2024-08,Land Nomad,aravind2705,centurion12,Gajini,thiyagup,bcappu,feedertony,vijay1989,ninjavarier,1599,1554,1122,709,1611,1566,1134,721,1605,1285,1122,914,1593,1273,1110,902,Land Nomad
1007366,2024-08-15,2024-08,African Clearing,thelivi,centurion12,Gajini,ninjavarier,bcappu,aravind2705,vijay1989,thiyagup,1574,1542,1110,902,1586,1554,1122,914,1617,1611,1134,721,1605,1599,1122,709,African Clearing
1007348,2024-08-15,2024-08,Land Nomad,thelivi,f33d3r.raj,vijay1989,Gajini,bcappu,aravind2705,feedertony,thiyagup,1559,1479,1119,1095,1574,1494,1134,1110,1632,1626,1300,736,1617,1611,1285,721,Land Nomad
1007344,2024-08-15,2024-08,African Clearing,aravind2705,f33d3r.raj,vijay1989,Gajini,bcappu,thelivi,feedertony,thiyagup,1611,1464,1104,1080,1626,1479,1119,1095,1647,1574,1315,751,1632,1559,1300,736,African Clearing
1006933,2024-08-14,2024-08,Land Nomad,bcappu,Gajini,sundar7238,,centurion12,feedertony,thiyagup,,1631,1064,949,0,1647,1080,965,0,1558,1331,767,0,1542,1315,751,0,Land Nomad
1006923,2024-08-14,2024-08,African Clearing,centurion12,thiyagup,,,Gajini,sundar7238,,,1552,761,0,0,1558,767,0,0,1070,955,0,0,1064,949,0,0,African Clearing
1004257,2024-08-10,2024-08,Land Nomad,bcappu,centurion12,,,arunaoe,Gajini,ninjavarier,,1614,1535,0,0,1631,1552,0,0,1138,1087,0,0,1121,1070,0,0,Land Nomad
1004202,2024-08-10,2024-08,African Clearing,bcappu,centurion12,ninjavarier,,aravind2705,Gajini,sundar7238,,1610,1531,915,0,1614,1535,919,0,1615,1091,959,0,1611,1087,955,0,African Clearing
1004184,2024-08-10,2024-08,Land Nomad,aravind2705,centurion12,ninjavarier,,bcappu,Gajini,sundar7238,,1610,1526,910,0,1615,1531,915,0,1615,1096,964,0,1610,1091,959,0,Land Nomad
1004166,2024-08-10,2024-08,African Clearing,Thiru,feedertony,ninjavarier,,bcappu,aravind2705,Gajini,,1972,1305,884,0,1998,1331,910,0,1641,1636,1122,0,1615,1610,1096,0,African Clearing
1004114,2024-08-10,2024-08,Land Nomad,bcappu,feedertony,thiyagup,,centurion12,Gajini,vijay1989,,1617,1281,737,0,1641,1305,761,0,1550,1146,1128,0,1526,1122,1104,0,Land Nomad
1004061,2024-08-10,2024-08,African Clearing,thelivi,centurion12,f33d3r.raj,thiyagup,aravind2705,feedertony,Gajini,vijay1989,1561,1537,1451,724,1574,1550,1464,737,1649,1294,1159,1141,1636,1281,1146,1128,African Clearing
1004038,2024-08-10,2024-08,Land Nomad,centurion12,Gajini,,,f33d3r.raj,feedertony,,,1506,1128,0,0,1537,1159,0,0,1482,1325,0,0,1451,1294,0,0,Land Nomad
1003573,2024-08-09,2024-08,African Clearing,Thiru,centurion12,sundar7238,,mikecbe,thelivi,Gajini,,1952,1486,944,0,1972,1506,964,0,1746,1581,1148,0,1726,1561,1128,0,African Clearing
1003552,2024-08-09,2024-08,Land Nomad,Thiru,bcappu,Gajini,vijay1989,mikecbe,thelivi,centurion12,sundar7238,1938,1603,1134,1127,1952,1617,1148,1141,1760,1595,1500,958,1746,1581,1486,944,Land Nomad
1003539,2024-08-09,2024-08,African Clearing,mikecbe,thelivi,arunaoe,Gajini,Thiru,centurion12,vijay1989,sundar7238,1746,1581,1124,1120,1760,1595,1138,1134,1952,1514,1141,972,1938,1500,1127,958,African Clearing
1003517,2024-08-09,2024-08,Land Nomad,thelivi,centurion12,feedertony,arunaoe,aravind2705,bcappu,f33d3r.raj,thiyagup,1566,1499,1310,1109,1581,1514,1325,1124,1664,1618,1497,739,1649,1603,1482,724,Land Nomad
1003507,2024-08-09,2024-08,African Clearing,bcappu,feedertony,vijay1989,sundar7238,thelivi,centurion12,Gajini,thiyagup,1604,1296,1127,958,1618,1310,1141,972,1580,1513,1134,753,1566,1499,1120,739,African Clearing
1003458,2024-08-09,2024-08,Land Nomad,bcappu,centurion12,f33d3r.raj,,aravind2705,Gajini,sundar7238,thiyagup,1590,1499,1483,0,1604,1513,1497,0,1678,1148,972,0,1664,1134,958,0,Land Nomad
1000365,2024-08-04,2024-08,African Clearing,mikecbe,lotterymartin,xpm0083,,bcappu,thelivi,arunaoe,,1731,1318,1286,0,1746,1333,1301,0,1605,1595,1124,0,1590,1580,1109,0,African Clearing
1000204,2024-08-04,2024-08,Land Nomad,mikecbe,darkknight7282,xpm0083,Gajini,bcappu,f33d3r.raj,feedertony,stylishsteam,1717,1346,1272,1134,1731,1360,1286,1148,1619,1497,1310,1050,1605,1483,1296,1036,Land Nomad
1000189,2024-08-04,2024-08,African Clearing,mikecbe,darkknight7282,feedertony,Gajini,bcappu,f33d3r.raj,xpm0083,stylishsteam,1701,1330,1294,1118,1717,1346,1310,1134,1635,1513,1288,1066,1619,1497,1272,1050,African Clearing
1000154,2024-08-04,2024-08,Land Nomad,bcappu,f33d3r.raj,feedertony,Gajini,mikecbe,darkknight7282,xpm0083,vijay1989,1621,1499,1280,1104,1635,1513,1294,1118,1715,1344,1302,1141,1701,1330,1288,1127,Land Nomad
1000112,2024-08-04,2024-08,African Clearing,f33d3r.raj,centurion12,Gajini,,mikecbe,feedertony,ninjavarier,,1489,1489,1094,0,1499,1499,1104,0,1725,1290,894,0,1715,1280,884,0,African Clearing
1000059,2024-08-04,2024-08,Land Nomad,f33d3r.raj,centurion12,feedertony,ninjavarier,mikecbe,arunaoe,Gajini,stylishsteam,1477,1477,1278,882,1489,1489,1290,894,1737,1136,1106,1078,1725,1124,1094,1066,Land Nomad
1000045,2024-08-04,2024-08,African Clearing,mikecbe,centurion12,,,feedertony,vijay1989,arunaoe,,1685,1425,0,0,1737,1477,0,0,1330,1193,0,0,1278,1141,0,0,African Clearing
1000025,2024-08-04,2024-08,Land Nomad,mikecbe,arunaoe,,,feedertony,vijay1989,,,1680,1183,0,0,1685,1188,0,0,1335,1198,0,0,1330,1193,0,0,Land Nomad
999797,2024-08-03,2024-08,African Clearing,bcappu,f33d3r.raj,Gajini,,mikecbe,arunaoe,typo,,1610,1466,1095,0,1621,1477,1106,0,1691,1194,1142,0,1680,1183,1131,0,African Clearing
999772,2024-08-03,2024-08,Land Nomad,bcappu,centurion12,darkknight7282,typo,mikecbe,f33d3r.raj,arunaoe,Gajini,1595,1410,1329,1127,1610,1425,1344,1142,1706,1481,1209,1110,1691,1466,1194,1095,Land Nomad
999749,2024-08-03,2024-08,African Clearing,bcappu,f33d3r.raj,arunaoe,Gajini,mikecbe,darkknight7282,crazyguy0505,typo,1582,1468,1196,1097,1595,1481,1209,1110,1719,1342,1151,1140,1706,1329,1087,1127,African Clearing
999731,2024-08-03,2024-08,Land Nomad,mikecbe,darkknight7282,vijay1989,typo,bcappu,centurion12,crazyguy0505,Gajini,1707,1329,1186,1128,1719,1342,1198,1140,1594,1422,1223,1109,1582,1410,1151,1097,Land Nomad
999704,2024-08-03,2024-08,African Clearing,f33d3r.raj,centurion12,darkknight7282,ninjavarier,bcappu,vijay1989,typo,stylishsteam,1455,1409,1315,869,1468,1422,1329,882,1607,1199,1141,1091,1594,1186,1128,1078,African Clearing
999661,2024-08-03,2024-08,Land Nomad,f33d3r.raj,vijay1989,typo,thiyagup,centurion12,Gajini,stylishsteam,ninjavarier,1440,1184,1126,752,1455,1199,1141,767,1424,1124,1106,884,1409,1109,1091,869,Land Nomad
999569,2024-08-03,2024-08,African Clearing,bcappu,centurion12,thiyagup,,f33d3r.raj,typo,Gajini,,1591,1408,735,0,1607,1424,752,0,1456,1142,1140,0,1440,1126,1124,0,African Clearing
999548,2024-08-03,2024-08,Land Nomad,bcappu,centurion12,thiyagup,,crazyguy0505,typo,Gajini,,1580,1397,723,0,1591,1408,735,0,1300,1153,1151,0,1223,1142,1140,0,Land Nomad
999508,2024-08-03,2024-08,African Clearing,bcappu,centurion12,ninjavarier,,f33d3r.raj,typo,Gajini,,1564,1381,868,0,1580,1397,884,0,1472,1169,1167,0,1456,1153,1151,0,African Clearing
999414,2024-08-03,2024-08,Land Nomad,bcappu,Gajini,thiyagup,,darkknight7282,vijay1989,ninjavarier,,1548,1151,704,0,1564,1167,723,0,1333,1200,884,0,1315,1184,868,0,Land Nomad
