match_id,date,map,team_a_players,team_b_players,queue
1132587,2025-02-21,Land Nomad,"[695309066771365970, 511604233267707925, 1024061084233125888, 555011931488911374]","[509251341105889280, 354904864066764804, 715923016412037221, 354990093980663809]",4v4
1132585,2025-02-21,Land Nomad,"[509251341105889280, 511604233267707925, 715923016412037221]","[695309066771365970, 354904864066764804, 354990093980663809]",4v4
1132544,2025-02-21,Land Nomad,"[354904864066764804, 1010781418458206329]","[509251341105889280, 715923016412037221]",4v4
1128947,2025-02-16,Land Nomad,"[1033770965127135333, 328978193312776212, 622810653878648873]","[573073267766722561, 695309066771365970, 555011931488911374]",4v4
1128927,2025-02-16,Land Nomad,"[1033770965127135333, 695309066771365970, 622810653878648873, 354990093980663809]","[573073267766722561, 354904864066764804, 511604233267707925, 555011931488911374]",4v4
1128893,2025-02-16,Land Nomad,"[573073267766722561, 695309066771365970, 354990093980663809, 581434797117669386]","[354904864066764804, 511604233267707925, 695276693362835466, 555011931488911374]",4v4
1128773,2025-02-16,Land Nomad,"[573073267766722561, 695309066771365970, 828672992976437267, 555011931488911374]","[1033770965127135333, 354904864066764804, 695276693362835466, 354990093980663809]",4v4
1128739,2025-02-16,Land Nomad,"[1033770965127135333, 695309066771365970, 797796953269338133, 354990093980663809]","[354904864066764804, 328978193312776212, 511604233267707925, 828672992976437267]",4v4
1128717,2025-02-16,Land Nomad,"[354904864066764804, 695309066771365970, 695276693362835466, 828672992976437267]","[1033770965127135333, 328978193312776212, 511604233267707925, 354990093980663809]",4v4
1128655,2025-02-16,Land Nomad,"[354904864066764804, 695309066771365970, 1024061084233125888]","[1033770965127135333, 622810653878648873, 511604233267707925]",4v4
1128638,2025-02-16,Land Nomad,"[354904864066764804, 511604233267707925, 1024061084233125888]","[1033770965127135333, 622810653878648873, 354990093980663809]",4v4
1128238,2025-02-15,Land Nomad,"[1033770965127135333, 622810653878648873, 328978193312776212, 511604233267707925]","[573073267766722561, 695309066771365970, 354904864066764804, 354990093980663809]",4v4
1128207,2025-02-15,Land Nomad,"[695309066771365970, 354904864066764804, 328978193312776212, 511604233267707925]","[573073267766722561, 1033770965127135333, 354990093980663809, 555011931488911374]",4v4
1128187,2025-02-15,Land Nomad,"[573073267766722561, 695309066771365970, 555011931488911374]","[1033770965127135333, 354904864066764804, 511604233267707925]",4v4
1128109,2025-02-15,Land Nomad,"[695309066771365970, 695276693362835466, 511604233267707925, 555011931488911374]","[573073267766722561, 354904864066764804, 828672992976437267, 1093481859607957514]",4v4
1127898,2025-02-15,Land Nomad,"[573073267766722561, 354990093980663809, 1093481859607957514]","[354904864066764804, 797796953269338133, 555011931488911374]",4v4
1127876,2025-02-15,Land Nomad,"[573073267766722561, 555011931488911374, 1093481859607957514]","[354904864066764804, 797796953269338133, 354990093980663809]",4v4
1127306,2025-02-14,Land Nomad,"[573073267766722561, 354904864066764804, 555011931488911374]","[1033770965127135333, 622810653878648873, 354990093980663809]",4v4
1127299,2025-02-14,Land Nomad,"[1033770965127135333, 354904864066764804, 555011931488911374]","[695309066771365970, 622810653878648873, 354990093980663809]",4v4
1123877,2025-02-09,Land Nomad,"[1033770965127135333, 354904864066764804, 354990093980663809]","[573073267766722561, 695276693362835466, 715923016412037221]",4v4
1123775,2025-02-09,Land Nomad,"[649505118152294421, 1033770965127135333, 354904864066764804, 715923016412037221]","[573073267766722561, 622810653878648873, 695276693362835466, 555011931488911374]",4v4
1123740,2025-02-09,Land Nomad,"[649505118152294421, 622810653878648873, 354904864066764804, 695276693362835466]","[573073267766722561, 1033770965127135333, 354990093980663809, 715923016412037221]",4v4
1123729,2025-02-09,Land Nomad,"[573073267766722561, 354904864066764804, 695276693362835466, 715923016412037221]","[649505118152294421, 622810653878648873, 328978193312776212, 354990093980663809]",4v4
1123716,2025-02-09,Land Nomad,"[573073267766722561, 622810653878648873, 797796953269338133, 354990093980663809]","[1033770965127135333, 328978193312776212, 354904864066764804, 739435983707308062]",4v4
1123701,2025-02-09,Land Nomad,"[573073267766722561, 328978193312776212, 354990093980663809, 715923016412037221]","[622810653878648873, 354904864066764804, 695276693362835466, 828672992976437267]",4v4
1123678,2025-02-09,Land Nomad,"[1033770965127135333, 622810653878648873, 1104364176668905622, 828672992976437267]","[573073267766722561, 695276693362835466, 739435983707308062, 555011931488911374]",4v4
1123649,2025-02-09,Land Nomad,"[573073267766722561, 622810653878648873, 354904864066764804, 555011931488911374]","[1241745368077697135, 649505118152294421, 1104364176668905622, 715923016412037221]",4v4
1123647,2025-02-09,Land Nomad,"[573073267766722561, 622810653878648873, 354904864066764804, 828672992976437267]","[1241745368077697135, 649505118152294421, 1024061084233125888, 555011931488911374]",4v4
1123626,2025-02-09,Land Nomad,"[1033770965127135333, 622810653878648873, 1104364176668905622, 739435983707308062]","[1241745368077697135, 354904864066764804, 1024061084233125888, 715923016412037221]",4v4
1123604,2025-02-09,Land Nomad,"[1033770965127135333, 622810653878648873, 354904864066764804]","[695276693362835466, 1024061084233125888, 354990093980663809, 715923016412037221]",4v4
1123579,2025-02-09,Land Nomad,"[1033770965127135333, 695276693362835466, 1024061084233125888, 715923016412037221]","[622810653878648873, 354904864066764804, 739435983707308062, 354990093980663809]",4v4
1122857,2025-02-08,Land Nomad,"[573073267766722561, 797796953269338133, 828672992976437267, 354990093980663809]","[622810653878648873, 354904864066764804, 695276693362835466, 715923016412037221]",4v4
1122836,2025-02-08,Land Nomad,"[573073267766722561, 828672992976437267, 555011931488911374, 715923016412037221]","[622810653878648873, 354904864066764804, 695276693362835466, 354990093980663809]",4v4
1122834,2025-02-08,Land Nomad,"[573073267766722561, 354904864066764804, 695276693362835466, 354990093980663809]","[1241745368077697135, 622810653878648873, 828672992976437267, 555011931488911374]",4v4
1122820,2025-02-08,Land Nomad,"[573073267766722561, 354904864066764804, 797796953269338133, 555011931488911374]","[1241745368077697135, 622810653878648873, 828672992976437267, 354990093980663809]",4v4
1122802,2025-02-08,Land Nomad,"[1241745368077697135, 828672992976437267, 555011931488911374]","[573073267766722561, 622810653878648873, 715923016412037221]",4v4
1122782,2025-02-08,Land Nomad,"[354904864066764804, 695276693362835466, 1104364176668905622, 1024061084233125888]","[573073267766722561, 622810653878648873, 555011931488911374, 715923016412037221]",4v4
1122758,2025-02-08,Land Nomad,"[1241745368077697135, 573073267766722561, 828672992976437267, 1093481859607957514]","[354904864066764804, 622810653878648873, 695276693362835466, 1024061084233125888]",4v4
1122746,2025-02-08,Land Nomad,"[622810653878648873, 695276693362835466, 828672992976437267, 354990093980663809]","[354904864066764804, 1104364176668905622, 1024061084233125888, 715923016412037221]",4v4
1122725,2025-02-08,Land Nomad,"[1241745368077697135, 354904864066764804, 354990093980663809, 715923016412037221]","[622810653878648873, 695276693362835466, 739435983707308062, 828672992976437267]",4v4
1122720,2025-02-08,Land Nomad,"[354904864066764804, 739435983707308062, 715923016412037221]","[622810653878648873, 828672992976437267, 354990093980663809]",4v4
1122251,2025-02-07,Land Nomad,"[573073267766722561, 328978193312776212, 828672992976437267, 715923016412037221]","[1033770965127135333, 695309066771365970, 555011931488911374, 1010781418458206329]",4v4
1122234,2025-02-07,Land Nomad,"[695309066771365970, 354904864066764804, 1010781418458206329, 715923016412037221]","[573073267766722561, 828672992976437267, 555011931488911374, 1093481859607957514]",4v4
1122206,2025-02-07,Land Nomad,"[354904864066764804, 1024061084233125888, 797796953269338133, 1010781418458206329]","[573073267766722561, 828672992976437267, 715923016412037221, 1093481859607957514]",4v4
1119349,2025-02-02,Land Nomad,"[649505118152294421, 328978193312776212, 1010781418458206329]","[1033770965127135333, 695309066771365970, 1093481859607957514]",4v4
1119341,2025-02-02,Land Nomad,"[573073267766722561, 695309066771365970, 766331860803780629, 1093481859607957514]","[1033770965127135333, 649505118152294421, 328978193312776212, 1010781418458206329]",4v4
1119235,2025-02-02,Land Nomad,"[649505118152294421, 354904864066764804, 1010781418458206329]","[1033770965127135333, 766331860803780629, 715923016412037221]",4v4
1119167,2025-02-02,Land Nomad,"[695309066771365970, 766331860803780629, 328978193312776212, 1104364176668905622]","[1033770965127135333, 649505118152294421, 828672992976437267, 715923016412037221]",4v4
1119142,2025-02-02,Land Nomad,"[695309066771365970, 695276693362835466, 328978193312776212, 715923016412037221]","[354904864066764804, 766331860803780629, 511604233267707925, 828672992976437267]",4v4
1119115,2025-02-02,Land Nomad,"[649505118152294421, 328978193312776212, 797796953269338133, 1104364176668905622]","[695276693362835466, 354904864066764804, 828672992976437267, 715923016412037221]",4v4
1119105,2025-02-02,Land Nomad,"[354904864066764804, 328978193312776212, 797796953269338133, 1104364176668905622]","[695276693362835466, 739435983707308062, 828672992976437267, 715923016412037221]",4v4
1119103,2025-02-02,Land Nomad,"[354904864066764804, 695276693362835466, 766331860803780629]","[328978193312776212, 828672992976437267, 1104364176668905622, 715923016412037221]",4v4
1119088,2025-02-02,Land Nomad,"[354904864066764804, 1024061084233125888, 1093481859607957514]","[649505118152294421, 1010781418458206329, 715923016412037221]",4v4
