"match_id","at","user_id","rating_before","rating_change","deviation_before","deviation_change","reason"
1068754,2024-11-17 14:31:12,581434797117669386,956,14,75,0,4v4
1068769,2024-11-17 14:59:59,695276693362835466,1414,12,75,0,4v4
1068769,2024-11-17 14:59:59,354904864066764804,1552,12,75,0,4v4
1068769,2024-11-17 14:59:59,1010781418458206329,1055,-12,75,0,4v4
1068769,2024-11-17 14:59:59,736088924115435550,705,-12,75,0,4v4
1068769,2024-11-17 14:59:59,1241745368077697135,1930,-12,75,0,4v4
1068769,2024-11-17 14:59:59,828672992976437267,1036,12,75,0,4v4
1068769,2024-11-17 14:59:59,511604233267707925,1215,-12,75,0,4v4
1068769,2024-11-17 14:59:59,581434797117669386,970,12,75,0,4v4
1068784,2024-11-17 15:32:35,1033770965127135333,1568,22,75,0,4v4
1068784,2024-11-17 15:32:35,828672992976437267,1048,22,75,0,4v4
1068784,2024-11-17 15:32:35,354904864066764804,1564,-22,75,0,4v4
1068784,2024-11-17 15:32:35,435111409320198167,1101,22,75,0,4v4
1068784,2024-11-17 15:32:35,458557005385302026,1969,22,75,0,4v4
1068784,2024-11-17 15:32:35,1241745368077697135,1918,-22,75,0,4v4
1068784,2024-11-17 15:32:35,1010781418458206329,1043,-22,75,0,4v4
1068784,2024-11-17 15:32:35,695276693362835466,1426,-22,75,0,4v4
1068805,2024-11-17 16:17:21,736088924115435550,693,-14,75,0,4v4
1068805,2024-11-17 16:17:21,511604233267707925,1203,14,75,0,4v4
1068805,2024-11-17 16:17:21,354904864066764804,1542,-14,75,0,4v4
1068805,2024-11-17 16:17:21,828672992976437267,1070,14,75,0,4v4
1068805,2024-11-17 16:17:21,649505118152294421,1480,14,75,0,4v4
1068805,2024-11-17 16:17:21,1241745368077697135,1896,-14,75,0,4v4
1068805,2024-11-17 16:17:21,1010781418458206329,1021,-14,75,0,4v4
1068805,2024-11-17 16:17:21,695276693362835466,1404,14,75,0,4v4
1068829,2024-11-17 17:23:23,736088924115435550,679,-14,75,0,4v4
1068829,2024-11-17 17:23:23,458557005385302026,1991,-14,75,0,4v4
1068829,2024-11-17 17:23:23,1033770965127135333,1590,14,75,0,4v4
1068829,2024-11-17 17:23:23,581434797117669386,982,-14,75,0,4v4
1068829,2024-11-17 17:23:23,695276693362835466,1418,14,75,0,4v4
1068829,2024-11-17 17:23:23,1241745368077697135,1882,-14,75,0,4v4
1068829,2024-11-17 17:23:23,1010781418458206329,1007,14,75,0,4v4
1068829,2024-11-17 17:23:23,649505118152294421,1494,14,75,0,4v4
NULL,2024-11-17 18:43:08,736088924115435550,665,-165,75,0,manual seeding
NULL,2024-11-17 18:48:10,736088924115435550,500,200,75,0,manual seeding
1068872,2024-11-17 19:17:56,581434797117669386,968,-14,75,0,4v4
1068872,2024-11-17 19:17:56,458557005385302026,1977,14,75,0,4v4
1068872,2024-11-17 19:17:56,1241745368077697135,1868,-14,75,0,4v4
1068872,2024-11-17 19:17:56,828672992976437267,1084,14,75,0,4v4
1068872,2024-11-17 19:17:56,1033770965127135333,1604,-14,75,0,4v4
1068872,2024-11-17 19:17:56,511604233267707925,1217,14,75,0,4v4
1068872,2024-11-17 19:17:56,695276693362835466,1432,-14,75,0,4v4
1068872,2024-11-17 19:17:56,695309066771365970,1587,14,75,0,4v4
1068908,2024-11-17 20:13:25,509251341105889280,1544,12,75,0,4v4
1068908,2024-11-17 20:13:25,1010781418458206329,1021,12,75,0,4v4
1068908,2024-11-17 20:13:25,695309066771365970,1601,12,75,0,4v4
1068908,2024-11-17 20:13:25,458557005385302026,1991,-12,75,0,4v4
1068908,2024-11-17 20:13:25,328978193312776212,1311,12,75,0,4v4
1068908,2024-11-17 20:13:25,695276693362835466,1418,-12,75,0,4v4
1068908,2024-11-17 20:13:25,581434797117669386,954,-12,75,0,4v4
1068908,2024-11-17 20:13:25,739435983707308062,1051,-12,75,0,4v4
1068925,2024-11-17 20:58:30,511604233267707925,1231,13,75,0,4v4
1068925,2024-11-17 20:58:30,695276693362835466,1406,-13,75,0,4v4
1068925,2024-11-17 20:58:30,1010781418458206329,1033,13,75,0,4v4
1068925,2024-11-17 20:58:30,1024061084233125888,1305,-13,75,0,4v4
1068925,2024-11-17 20:58:30,581434797117669386,942,-13,75,0,4v4
1068925,2024-11-17 20:58:30,458557005385302026,1979,13,75,0,4v4
1068925,2024-11-17 20:58:30,695309066771365970,1613,-13,75,0,4v4
1068925,2024-11-17 20:58:30,739435983707308062,1039,13,75,0,4v4
1072580,2024-11-23 08:35:46,1010781418458206329,1046,-14,75,0,4v4
1072580,2024-11-23 08:35:46,354990093980663809,980,14,75,0,4v4
1072580,2024-11-23 08:35:46,1241745368077697135,1854,-14,75,0,4v4
1072580,2024-11-23 08:35:46,715923016412037221,1071,14,75,0,4v4
1072580,2024-11-23 08:35:46,828672992976437267,1098,-14,75,0,4v4
1072580,2024-11-23 08:35:46,435111409320198167,1123,14,75,0,4v4
1072580,2024-11-23 08:35:46,354904864066764804,1528,14,75,0,4v4
1072580,2024-11-23 08:35:46,736088924115435550,700,-14,75,0,4v4
1072605,2024-11-23 09:14:48,354904864066764804,1542,-13,75,0,4v4
1072605,2024-11-23 09:14:48,1010781418458206329,1032,13,75,0,4v4
1072605,2024-11-23 09:14:48,458557005385302026,1992,-13,75,0,4v4
1072605,2024-11-23 09:14:48,828672992976437267,1084,13,75,0,4v4
1072605,2024-11-23 09:14:48,1093481859607957514,705,-13,75,0,4v4
1072605,2024-11-23 09:14:48,736088924115435550,686,-13,75,0,4v4
1072605,2024-11-23 09:14:48,354990093980663809,994,13,75,0,4v4
1072605,2024-11-23 09:14:48,1241745368077697135,1840,13,75,0,4v4
1072629,2024-11-23 10:06:04,581434797117669386,929,14,75,0,4v4
1072629,2024-11-23 10:06:04,1010781418458206329,1045,-14,75,0,4v4
1072629,2024-11-23 10:06:04,354904864066764804,1529,-14,75,0,4v4
1072629,2024-11-23 10:06:04,458557005385302026,1979,14,75,0,4v4
1072629,2024-11-23 10:06:04,1093481859607957514,692,14,75,0,4v4
1072629,2024-11-23 10:06:04,715923016412037221,1085,-14,75,0,4v4
1072629,2024-11-23 10:06:04,435111409320198167,1137,14,75,0,4v4
1072629,2024-11-23 10:06:04,828672992976437267,1097,-14,75,0,4v4
1072676,2024-11-23 12:09:59,739435983707308062,1052,16,75,0,4v4
1072676,2024-11-23 12:09:59,581434797117669386,943,-16,75,0,4v4
1072676,2024-11-23 12:09:59,1010781418458206329,1031,16,75,0,4v4
1072676,2024-11-23 12:09:59,828672992976437267,1083,-16,75,0,4v4
1072676,2024-11-23 12:09:59,715923016412037221,1071,-16,75,0,4v4
1072676,2024-11-23 12:09:59,354990093980663809,1007,16,75,0,4v4
1072701,2024-11-23 13:12:13,1010781418458206329,1047,20,75,0,4v4
1072701,2024-11-23 13:12:13,797796953269338133,1043,20,75,0,4v4
1072701,2024-11-23 13:12:13,828672992976437267,1067,20,75,0,4v4
1072701,2024-11-23 13:12:13,435111409320198167,1151,20,75,0,4v4
1072701,2024-11-23 13:12:13,715923016412037221,1055,-20,75,0,4v4
1072701,2024-11-23 13:12:13,649505118152294421,1508,-20,75,0,4v4
1072701,2024-11-23 13:12:13,581434797117669386,927,-20,75,0,4v4
1072701,2024-11-23 13:12:13,354990093980663809,1023,-20,75,0,4v4
1072725,2024-11-23 13:59:35,354990093980663809,1003,0,75,0,4v4
1072725,2024-11-23 13:59:35,649505118152294421,1488,0,75,0,4v4
1072725,2024-11-23 13:59:35,739435983707308062,1068,0,75,0,4v4
1072725,2024-11-23 13:59:35,511604233267707925,1244,0,75,0,4v4
1072725,2024-11-23 13:59:35,581434797117669386,907,0,75,0,4v4
1072725,2024-11-23 13:59:35,828672992976437267,1087,0,75,0,4v4
1072725,2024-11-23 13:59:35,736088924115435550,673,0,75,0,4v4
1072725,2024-11-23 13:59:35,715923016412037221,1035,0,75,0,4v4
1072883,2024-11-23 18:39:20,1010781418458206329,1067,-14,75,0,4v4
1072883,2024-11-23 18:39:20,511604233267707925,1244,-14,75,0,4v4
1072883,2024-11-23 18:39:20,828672992976437267,1087,14,75,0,4v4
1072883,2024-11-23 18:39:20,695276693362835466,1393,-14,75,0,4v4
1072883,2024-11-23 18:39:20,354990093980663809,1003,-14,75,0,4v4
1072883,2024-11-23 18:39:20,1093481859607957514,706,14,75,0,4v4
1072883,2024-11-23 18:39:20,797796953269338133,1063,14,75,0,4v4
1072883,2024-11-23 18:39:20,1241745368077697135,1853,14,75,0,4v4
1072904,2024-11-23 19:19:26,715923016412037221,1035,-15,75,0,4v4
1072904,2024-11-23 19:19:26,739435983707308062,1068,15,75,0,4v4
1072904,2024-11-23 19:19:26,354904864066764804,1515,-15,75,0,4v4
1072904,2024-11-23 19:19:26,695276693362835466,1379,-15,75,0,4v4
1072904,2024-11-23 19:19:26,511604233267707925,1230,-15,75,0,4v4
1072904,2024-11-23 19:19:26,797796953269338133,1077,15,75,0,4v4
1072904,2024-11-23 19:19:26,828672992976437267,1101,15,75,0,4v4
1072904,2024-11-23 19:19:26,1241745368077697135,1867,15,75,0,4v4
1072925,2024-11-23 19:51:50,1010781418458206329,1053,-17,75,0,4v4
1072925,2024-11-23 19:51:50,354904864066764804,1500,17,75,0,4v4
1072925,2024-11-23 19:51:50,739435983707308062,1083,17,75,0,4v4
1072925,2024-11-23 19:51:50,695276693362835466,1364,-17,75,0,4v4
1072925,2024-11-23 19:51:50,715923016412037221,1020,17,75,0,4v4
1072925,2024-11-23 19:51:50,511604233267707925,1215,-17,75,0,4v4
1072943,2024-11-23 20:35:26,354904864066764804,1517,14,75,0,4v4
1072943,2024-11-23 20:35:26,739435983707308062,1100,14,75,0,4v4
1072943,2024-11-23 20:35:26,1010781418458206329,1036,-14,75,0,4v4
1072943,2024-11-23 20:35:26,695276693362835466,1347,14,75,0,4v4
1072943,2024-11-23 20:35:26,511604233267707925,1198,-14,75,0,4v4
1072943,2024-11-23 20:35:26,715923016412037221,1037,-14,75,0,4v4
1072943,2024-11-23 20:35:26,435111409320198167,1171,14,75,0,4v4
1072943,2024-11-23 20:35:26,1241745368077697135,1882,-14,75,0,4v4
1072970,2024-11-23 21:07:44,1033770965127135333,1590,16,75,0,4v4
1072970,2024-11-23 21:07:44,458557005385302026,1993,-16,75,0,4v4
1072970,2024-11-23 21:07:44,739435983707308062,1114,-16,75,0,4v4
1072970,2024-11-23 21:07:44,511604233267707925,1184,16,75,0,4v4
1072970,2024-11-23 21:07:44,354904864066764804,1531,16,75,0,4v4
1072970,2024-11-23 21:07:44,1010781418458206329,1022,-16,75,0,4v4
1072970,2024-11-23 21:07:44,695276693362835466,1361,-16,75,0,4v4
1072970,2024-11-23 21:07:44,828672992976437267,1116,16,75,0,4v4
1072999,2024-11-23 21:50:55,1241745368077697135,1868,-14,75,0,4v4
1072999,2024-11-23 21:50:55,695309066771365970,1600,-14,75,0,4v4
1072999,2024-11-23 21:50:55,739435983707308062,1098,14,75,0,4v4
1072999,2024-11-23 21:50:55,1010781418458206329,1006,-14,75,0,4v4
1072999,2024-11-23 21:50:55,458557005385302026,1977,14,75,0,4v4
1072999,2024-11-23 21:50:55,354904864066764804,1547,14,75,0,4v4
1072999,2024-11-23 21:50:55,511604233267707925,1200,14,75,0,4v4
1072999,2024-11-23 21:50:55,695276693362835466,1345,-14,75,0,4v4
1073044,2024-11-23 22:25:50,573073267766722561,2095,14,75,0,4v4
1073044,2024-11-23 22:25:50,328978193312776212,1323,14,75,0,4v4
1073044,2024-11-23 22:25:50,1033770965127135333,1606,-14,75,0,4v4
1073044,2024-11-23 22:25:50,695276693362835466,1331,14,75,0,4v4
1073044,2024-11-23 22:25:50,739435983707308062,1112,-14,75,0,4v4
1073044,2024-11-23 22:25:50,1010781418458206329,992,14,75,0,4v4
1073044,2024-11-23 22:25:50,435111409320198167,1185,-14,75,0,4v4
1073044,2024-11-23 22:25:50,1241745368077697135,1854,-14,75,0,4v4
1073084,2024-11-23 23:17:34,354904864066764804,1561,14,75,0,4v4
1073084,2024-11-23 23:17:34,435111409320198167,1171,14,75,0,4v4
1073084,2024-11-23 23:17:34,649505118152294421,1488,14,75,0,4v4
1073084,2024-11-23 23:17:34,1241745368077697135,1840,14,75,0,4v4
1073084,2024-11-23 23:17:34,1010781418458206329,1006,-14,75,0,4v4
1073084,2024-11-23 23:17:34,695276693362835466,1345,-14,75,0,4v4
1073084,2024-11-23 23:17:34,1033770965127135333,1592,-14,75,0,4v4
1073084,2024-11-23 23:17:34,573073267766722561,2109,-14,75,0,4v4
1073520,2024-11-24 08:50:04,739435983707308062,1098,13,75,0,4v4
1073520,2024-11-24 08:50:04,354990093980663809,989,-13,75,0,4v4
1073520,2024-11-24 08:50:04,695276693362835466,1331,13,75,0,4v4
1073520,2024-11-24 08:50:04,715923016412037221,1023,-13,75,0,4v4
1073520,2024-11-24 08:50:04,435111409320198167,1185,13,75,0,4v4
1073520,2024-11-24 08:50:04,354904864066764804,1575,13,75,0,4v4
1073520,2024-11-24 08:50:04,695309066771365970,1586,-13,75,0,4v4
1073520,2024-11-24 08:50:04,1033770965127135333,1578,-13,75,0,4v4
1073556,2024-11-24 09:48:21,1010781418458206329,992,-13,75,0,4v4
1073556,2024-11-24 09:48:21,511604233267707925,1214,-13,75,0,4v4
1073556,2024-11-24 09:48:21,695276693362835466,1344,-13,75,0,4v4
1073556,2024-11-24 09:48:21,354904864066764804,1588,-13,75,0,4v4
1073556,2024-11-24 09:48:21,715923016412037221,1010,13,75,0,4v4
1073556,2024-11-24 09:48:21,1093481859607957514,720,13,75,0,4v4
1073556,2024-11-24 09:48:21,1241745368077697135,1854,13,75,0,4v4
1073556,2024-11-24 09:48:21,1033770965127135333,1565,13,75,0,4v4
1073579,2024-11-24 10:38:27,354904864066764804,1575,-15,75,0,4v4
1073579,2024-11-24 10:38:27,1010781418458206329,979,15,75,0,4v4
1073579,2024-11-24 10:38:27,695276693362835466,1331,-15,75,0,4v4
1073579,2024-11-24 10:38:27,739435983707308062,1111,15,75,0,4v4
1073579,2024-11-24 10:38:27,511604233267707925,1201,15,75,0,4v4
1073579,2024-11-24 10:38:27,649505118152294421,1502,15,75,0,4v4
1073579,2024-11-24 10:38:27,1093481859607957514,733,-15,75,0,4v4
1073579,2024-11-24 10:38:27,435111409320198167,1198,-15,75,0,4v4
1073607,2024-11-24 11:55:50,695309066771365970,1573,-14,75,0,4v4
1073607,2024-11-24 11:55:50,1241745368077697135,1867,14,75,0,4v4
1073607,2024-11-24 11:55:50,695276693362835466,1316,14,75,0,4v4
1073607,2024-11-24 11:55:50,354904864066764804,1560,-14,75,0,4v4
