match_id,date,map,team_a_players,team_b_players
852595,2024-02-04,Mega Random (Random Civs),"[714677532665839667, 542430914836168744, 394425164231868416, 584450667897290784]","[317357930796023828, 849334461773774928, 223875529600663552, 714793302582362162]"
852570,2024-02-04,4 lakes (Random civs),"[657452537506562069, 849334461773774928, 223875529600663552, 584239778740961299]","[313042064332029952, 317357930796023828, 512487301717295104, 635033349206966277]"
852567,2024-02-04,Golden Pit,"[313042064332029952, 849334461773774928, 223875529600663552, 635033349206966277]","[348849437101260801, 317357930796023828, 512487301717295104, 584239778740961299]"
852559,2024-02-04,Arena (Random civs),"[714677532665839667, 317357930796023828, 223875529600663552, 714793302582362162]","[657452537506562069, 512487301717295104, 635033349206966277, 584239778740961299]"
852536,2024-02-04,Beduoins (Random Civs),"[317357930796023828, 849334461773774928, 394425164231868416, 463259002596360203]","[313042064332029952, 749079044917690388, 223875529600663552, 767743114575085628]"
852498,2024-02-04,Oasis(Random Civs),"[317357930796023828, 304272299534581762, 714793302582362162, 463259002596360203]","[703469910138814515, 394425164231868416, 512487301717295104, 446632506934951938]"
852494,2024-02-04,Beduoins (Random Civs),"[304272299534581762, 394425164231868416, 512487301717295104, 463259002596360203]","[470492953983582219, 749079044917690388, 446632506934951938, 767743114575085628]"
852448,2024-02-04,Nomad (Random Civs),"[470492953983582219, 394425164231868416, 512487301717295104, 945283728643608619]","[749079044917690388, 635025856313557033, 223875529600663552, 767743114575085628]"
852440,2024-02-04,4 lakes (Random civs),"[714677532665839667, 703469910138814515, 695309066771365970, 732576383208914978]","[317357930796023828, 849334461773774928, 714793302582362162, 446632506934951938]"
852436,2024-02-04,African Clearing (Random Civs),"[313042064332029952, 635025856313557033, 394425164231868416, 584239778740961299]","[470492953983582219, 749079044917690388, 223875529600663552, 767743114575085628]"
852433,2024-02-04,Arena (Random civs),"[313042064332029952, 749079044917690388, 584239778740961299, 945283728643608619]","[635025856313557033, 394425164231868416, 223875529600663552, 767743114575085628]"
852420,2024-02-04,Enclosed- Random Civs,"[749079044917690388, 410863622139412482, 699611550423711766, 223875529600663552]","[657452537506562069, 635025856313557033, 715438374357434401, 732576383208914978]"
852413,2024-02-04,African Clearing (Random Civs),"[703469910138814515, 849334461773774928, 394425164231868416, 945283728643608619]","[470492953983582219, 313042064332029952, 584239778740961299, 767743114575085628]"
852377,2024-02-04,Rage Forest (Random Civs),"[657452537506562069, 703469910138814515, 849334461773774928, 635033349206966277]","[470492953983582219, 714677532665839667, 749079044917690388, 699611550423711766]"
852370,2024-02-04,Arena Island (NC Zone) (Random Civs),"[313042064332029952, 410863622139412482, 767743114575085628, 945283728643608619]","[766331860803780629, 394425164231868416, 397986436999020554, 584239778740961299]"
852346,2024-02-04,Ghost Lake,"[657452537506562069, 749079044917690388, 699611550423711766, 732576383208914978]","[470492953983582219, 714677532665839667, 290027208846868482, 635033349206966277]"
852337,2024-02-04,Valley,"[573073267766722561, 313042064332029952, 749079044917690388, 584239778740961299]","[714677532665839667, 290027208846868482, 394425164231868416, 732576383208914978]"
851850,2024-02-03,Crater,"[542430914836168744, 635025856313557033, 503759402206101545, 711266082043854870]","[238042803093897216, 714793302582362162, 715438374357434401, 697860695550722089]"
851840,2024-02-03,Golden Lakes (Random Civs),"[238042803093897216, 714793302582362162, 711266082043854870, 697860695550722089]","[542430914836168744, 715438374357434401, 503759402206101545, 635025856313557033]"
851840,2024-02-03,Golden Lakes (Random Civs),"[238042803093897216, 714793302582362162, 711266082043854870, 697860695550722089]","[542430914836168744, 715438374357434401, 503759402206101545, 584450667897290784]"
851801,2024-02-03,Hideout(Random Civs),"[754608550721880144, 223875529600663552, 503759402206101545, 711266082043854870]","[714677532665839667, 714793302582362162, 584450667897290784, 697860695550722089]"
851770,2024-02-03,Land Nomad (Random Civs),"[703469910138814515, 223875529600663552, 714793302582362162, 697860695550722089]","[714677532665839667, 446632506934951938, 584450667897290784, 711266082043854870]"
851739,2024-02-03,Oasis(Random Civs),"[714677532665839667, 223875529600663552, 503759402206101545, 584450667897290784]","[495896198444613643, 703469910138814515, 584239778740961299, 697860695550722089]"
851709,2024-02-03,Arabia,"[495896198444613643, 703469910138814515, 584450667897290784, 697860695550722089]","[440357833255682058, 439339450770653185, 714793302582362162, 711266082043854870]"
851673,2024-02-03,Kawasan (Random Civs),"[495896198444613643, 439339450770653185, 714793302582362162, 584450667897290784]","[440357833255682058, 410863622139412482, 703469910138814515, 697860695550722089]"
851618,2024-02-03,Team Islands,"[495896198444613643, 454538560348094466, 714677532665839667, 584239778740961299]","[238042803093897216, 313042064332029952, 703469910138814515, 695309066771365970]"
851298,2024-02-03,4 lakes (Random civs),"[313042064332029952, 394425164231868416, 223875529600663552, 635033349206966277]","[657452537506562069, 439339450770653185, 446632506934951938, 584239778740961299]"
851251,2024-02-03,Nomad (Random Civs),"[657452537506562069, 635025856313557033, 635033349206966277, 446632506934951938]","[454538560348094466, 290027208846868482, 439339450770653185, 723567999784583239]"
851222,2024-02-03,Arena (Random civs),"[470492953983582219, 223875529600663552, 732576383208914978, 463259002596360203]","[313042064332029952, 394425164231868416, 605758375052967937, 584239778740961299]"
851210,2024-02-03,Rage Forest (Random Civs),"[470492953983582219, 446632506934951938, 732576383208914978, 463259002596360203]","[223875529600663552, 394425164231868416, 605758375052967937, 584239778740961299]"
851185,2024-02-03,Rage Forest (Random Civs),"[495896198444613643, 454538560348094466, 313042064332029952, 635033349206966277]","[440357833255682058, 290027208846868482, 573073267766722561, 703469910138814515]"
851168,2024-02-03,Valley,"[470492953983582219, 573073267766722561, 394425164231868416, 584239778740961299]","[440357833255682058, 290027208846868482, 732576383208914978, 463259002596360203]"
851159,2024-02-03,Baltic,"[440357833255682058, 290027208846868482, 732576383208914978, 463259002596360203]","[470492953983582219, 573073267766722561, 223875529600663552, 584239778740961299]"
851141,2024-02-03,Steppe,"[440357833255682058, 313042064332029952, 394425164231868416, 463259002596360203]","[714677532665839667, 470492953983582219, 635033349206966277, 715438374357434401]"
851130,2024-02-03,Mega Random (Random Civs),"[348849437101260801, 440357833255682058, 635033349206966277, 715438374357434401]","[470492953983582219, 313042064332029952, 635025856313557033, 463259002596360203]"
851110,2024-02-03,Runestones( Random Civs),"[348849437101260801, 440357833255682058, 635025856313557033, 767743114575085628]","[470492953983582219, 313042064332029952, 394425164231868416, 635033349206966277]"
850381,2024-02-02,Arabia,"[495896198444613643, 573073267766722561, 754608550721880144, 463259002596360203]","[568857045080473601, 703469910138814515, 223875529600663552, 714793302582362162]"
850315,2024-02-02,Oasis(Random Civs),"[495896198444613643, 703469910138814515, 223875529600663552, 394425164231868416]","[568857045080473601, 573073267766722561, 635033349206966277, 714793302582362162]"
850261,2024-02-02,Land Nomad (Random Civs),"[495896198444613643, 703469910138814515, 394425164231868416, 714793302582362162]","[573073267766722561, 410863622139412482, 439339450770653185, 635033349206966277]"
850217,2024-02-02,4 lakes (Random civs),"[703469910138814515, 635025856313557033, 542430914836168744, 714793302582362162]","[573073267766722561, 439339450770653185, 394425164231868416, 635033349206966277]"
850166,2024-02-02,Migration (Random Civs),"[573073267766722561, 703469910138814515, 542430914836168744, 635033349206966277]","[348849437101260801, 317357930796023828, 394425164231868416, 732576383208914978]"
850123,2024-02-02,Arena (Random civs),"[703469910138814515, 542430914836168744, 849334461773774928, 394425164231868416]","[348849437101260801, 573073267766722561, 766331860803780629, 426026435417866244]"
849897,2024-02-02,Beduoins (Random Civs),"[348849437101260801, 692780064106086420, 754608550721880144, 767743114575085628]","[716142389902704691, 470492953983582219, 394425164231868416, 426026435417866244]"
849890,2024-02-02,African Clearing (Random Civs),"[716142389902704691, 692780064106086420, 394425164231868416, 426026435417866244]","[714677532665839667, 470492953983582219, 635025856313557033, 767743114575085628]"
849408,2024-02-01,Rage Forest (Random Civs),"[573073267766722561, 439339450770653185, 697862073173934161, 697860695550722089]","[725758030221934692, 410863622139412482, 714793302582362162, 584450667897290784]"
849359,2024-02-01,Mega Random (Random Civs),"[573073267766722561, 714793302582362162, 463259002596360203, 584450667897290784]","[410863622139412482, 635025856313557033, 711266082043854870, 697860695550722089]"
849323,2024-02-01,Runestones( Random Civs),"[410863622139412482, 714793302582362162, 463259002596360203, 711266082043854870]","[573073267766722561, 223875529600663552, 584450667897290784, 697860695550722089]"
849283,2024-02-01,Nomad (Random Civs),"[454538560348094466, 573073267766722561, 223875529600663552, 584450667897290784]","[714677532665839667, 635025856313557033, 703469910138814515, 635033349206966277]"
849274,2024-02-01,Oasis(Random Civs),"[454538560348094466, 635025856313557033, 849334461773774928, 584450667897290784]","[714677532665839667, 703469910138814515, 695309066771365970, 635033349206966277]"
849246,2024-02-01,Hideout(Random Civs),"[317357930796023828, 725758030221934692, 703469910138814515, 811413902176419860]","[573073267766722561, 410863622139412482, 635025856313557033, 849334461773774928]"
