match_id,date,map,team_a_players,team_b_players
1086533,2024-12-14,Land Nomad (Random Civs),"[386965257660399619, 584450667897290784, 321600706769584128, 697860695550722089]","[512487301717295104, 229635376212475904, 1291708538573291523, 715438374357434401]"
1086528,2024-12-14,Steppe (Random Civs),"[470492953983582219, 699611550423711766, 229635376212475904, 584450667897290784]","[386965257660399619, 512487301717295104, 700792986937589781, 1291708538573291523]"
1086505,2024-12-14,Arena Island (NC Zone) (Random Civs),"[470492953983582219, 401748724021329920, 767743114575085628, 584239778740961299]","[512487301717295104, 394425164231868416, 631896735337152525, 1229885069217370293]"
1086487,2024-12-14,Golden Pit,"[470492953983582219, 401748724021329920, 1229885069217370293, 584239778740961299]","[699611550423711766, 635025856313557033, 631896735337152525, 715438374357434401]"
1086473,2024-12-14,4 lakes (Random civs),"[725758030221934692, 503759402206101545, 723567999784583239, 1291708538573291523]","[512487301717295104, 394425164231868416, 700792986937589781, 767743114575085628]"
1086434,2024-12-14,4 lakes (Random civs),"[635025856313557033, 697862073173934161, 631896735337152525, 321600706769584128]","[401748724021329920, 699611550423711766, 715438374357434401, 584239778740961299]"
1086364,2024-12-14,Enclosed- Random Civs,"[386965257660399619, 754608550721880144, 512487301717295104, 321600706769584128]","[401748724021329920, 725758030221934692, 631896735337152525, 714793302582362162]"
1086356,2024-12-14,Hideout(Random Civs),"[401748724021329920, 725758030221934692, 754608550721880144, 767743114575085628]","[386965257660399619, 631896735337152525, 714793302582362162, 321600706769584128]"
1086329,2024-12-14,Runestones( Random Civs),"[386965257660399619, 401748724021329920, 635033349206966277, 715438374357434401]","[522200099783311360, 635025856313557033, 714793302582362162, 321600706769584128]"
1086310,2024-12-14,Land Madness,"[386965257660399619, 1286707470802227285, 714793302582362162, 635033349206966277]","[522200099783311360, 401748724021329920, 699611550423711766, 723567999784583239]"
1086283,2024-12-14,Arabia,"[317357930796023828, 512487301717295104, 394425164231868416, 631896735337152525]","[401748724021329920, 697862073173934161, 635025856313557033, 635033349206966277]"
1086267,2024-12-14,Nomad (Random Civs),"[697862073173934161, 635025856313557033, 635033349206966277, 584239778740961299]","[512487301717295104, 394425164231868416, 631896735337152525, 715438374357434401]"
1086254,2024-12-14,Golden Lakes (Random Civs),"[332985391546236928, 401748724021329920, 512487301717295104, 635033349206966277]","[386965257660399619, 703469910138814515, 697862073173934161, 695309066771365970]"
1086236,2024-12-14,Kawasan (Random Civs),"[692780064106086420, 401748724021329920, 703469910138814515, 697862073173934161]","[332985391546236928, 695309066771365970, 512487301717295104, 715438374357434401]"
1086215,2024-12-14,Rage Forest (Random Civs),"[692780064106086420, 317357930796023828, 512487301717295104, 321600706769584128]","[386965257660399619, 635025856313557033, 635033349206966277, 1291708538573291523]"
1086206,2024-12-14,Ghost Lake,"[317357930796023828, 635033349206966277, 1291708538573291523, 584239778740961299]","[635025856313557033, 512487301717295104, 715438374357434401, 321600706769584128]"
1086197,2024-12-14,Golden Lakes (Random Civs),"[386965257660399619, 1291708538573291523, 715438374357434401, 584239778740961299]","[317357930796023828, 635025856313557033, 512487301717295104, 321600706769584128]"
1085907,2024-12-13,African Clearing (Random Civs),"[386965257660399619, 542430914836168744, 1229885069217370293, 321600706769584128]","[470492953983582219, 631896735337152525, 463259002596360203, 759153260136366131]"
1085889,2024-12-13,Valley,"[542430914836168744, 631896735337152525, 463259002596360203, 759153260136366131]","[386965257660399619, 700792986937589781, 1291708538573291523, 321600706769584128]"
1085870,2024-12-13,Land Nomad (Random Civs),"[386965257660399619, 542430914836168744, 1229885069217370293, 321600706769584128]","[692780064106086420, 631896735337152525, 700792986937589781, 715438374357434401]"
1085824,2024-12-13,Mega Random (Random Civs),"[317357930796023828, 503759402206101545, 1229885069217370293, 584239778740961299]","[697862073173934161, 394425164231868416, 568705990489276426, 321600706769584128]"
1085761,2024-12-13,Serengeti,"[401748724021329920, 725758030221934692, 714793302582362162, 321600706769584128]","[692780064106086420, 394425164231868416, 759153260136366131, 767743114575085628]"
1085745,2024-12-13,Land Nomad (Random Civs),"[695309066771365970, 697862073173934161, 394425164231868416, 321600706769584128]","[811413902176419860, 725758030221934692, 568705990489276426, 767743114575085628]"
1085388,2024-12-12,Oasis(Random Civs),"[657452537506562069, 1286707470802227285, 700792986937589781, 715438374357434401]","[716142389902704691, 470492953983582219, 695309066771365970, 503759402206101545]"
1085361,2024-12-12,Arena (Random civs),"[716142389902704691, 238042803093897216, 695309066771365970, 503759402206101545]","[657452537506562069, 1286707470802227285, 317357930796023828, 715438374357434401]"
1085356,2024-12-12,4 lakes (Random civs),"[657452537506562069, 317357930796023828, 697862073173934161, 714793302582362162]","[716142389902704691, 1286707470802227285, 635025856313557033, 631896735337152525]"
1085331,2024-12-12,Hideout(Random Civs),"[238042803093897216, 470492953983582219, 463259002596360203, 503759402206101545]","[495896198444613643, 703469910138814515, 695309066771365970, 715438374357434401]"
1085310,2024-12-12,Golden Pit,"[495896198444613643, 463259002596360203, 503759402206101545, 1291708538573291523]","[703469910138814515, 695309066771365970, 223875529600663552, 715438374357434401]"
1085288,2024-12-12,Steppe (Random Civs),"[703469910138814515, 695309066771365970, 697862073173934161, 223875529600663552]","[495896198444613643, 849334461773774928, 631896735337152525, 463259002596360203]"
1085279,2024-12-12,Land Madness,"[703469910138814515, 849334461773774928, 631896735337152525, 568705990489276426]","[1286707470802227285, 697862073173934161, 223875529600663552, 584239778740961299]"
1085273,2024-12-12,Team Islands,"[495896198444613643, 695309066771365970, 631896735337152525, 715438374357434401]","[1286707470802227285, 697862073173934161, 849334461773774928, 568705990489276426]"
1085265,2024-12-12,Arena Island (NC Zone) (Random Civs),"[703469910138814515, 317357930796023828, 542430914836168744, 849334461773774928]","[431327099480047626, 695309066771365970, 631896735337152525, 584239778740961299]"
1084980,2024-12-11,Arabia,"[238042803093897216, 522200099783311360, 714793302582362162, 715438374357434401]","[386965257660399619, 470492953983582219, 700792986937589781, 503759402206101545]"
1084961,2024-12-11,Enclosed- Random Civs,"[386965257660399619, 238042803093897216, 700792986937589781, 503759402206101545]","[716142389902704691, 522200099783311360, 714793302582362162, 715438374357434401]"
1084944,2024-12-11,Kawasan (Random Civs),"[386965257660399619, 714793302582362162, 700792986937589781, 759153260136366131]","[522200099783311360, 470492953983582219, 503759402206101545, 715438374357434401]"
1084911,2024-12-11,Ghost Lake,"[470492953983582219, 317357930796023828, 714793302582362162, 759153260136366131]","[716142389902704691, 700792986937589781, 723567999784583239, 503759402206101545]"
1084885,2024-12-11,Nomad (Random Civs),"[695309066771365970, 700792986937589781, 503759402206101545, 759153260136366131]","[317357930796023828, 714793302582362162, 723567999784583239, 715438374357434401]"
1084860,2024-12-11,Runestones( Random Civs),"[1286707470802227285, 703469910138814515, 695309066771365970, 714793302582362162]","[657452537506562069, 317357930796023828, 503759402206101545, 723567999784583239]"
1084860,2024-12-11,Runestones( Random Civs),"[1286707470802227285, 703469910138814515, 695309066771365970, 714793302582362162]","[657452537506562069, 317357930796023828, 503759402206101545, 759153260136366131]"
1084824,2024-12-11,African Clearing (Random Civs),"[692780064106086420, 697862073173934161, 700792986937589781, 715438374357434401]","[703469910138814515, 849334461773774928, 223875529600663552, 723567999784583239]"
1084820,2024-12-11,Land Nomad (Random Civs),"[657452537506562069, 714793302582362162, 584450667897290784, 503759402206101545]","[495896198444613643, 317357930796023828, 695309066771365970, 759153260136366131]"
1084809,2024-12-11,Valley,"[703469910138814515, 700792986937589781, 723567999784583239, 698943503509618729]","[697862073173934161, 849334461773774928, 223875529600663552, 715438374357434401]"
1084782,2024-12-11,Arena (Random civs),"[692780064106086420, 700792986937589781, 723567999784583239, 698943503509618729]","[703469910138814515, 849334461773774928, 223875529600663552, 715438374357434401]"
1084776,2024-12-11,Regicide Fortress (Random Civs),"[317357930796023828, 714793302582362162, 584450667897290784, 503759402206101545]","[495896198444613643, 695309066771365970, 759153260136366131, 321600706769584128]"
1084773,2024-12-11,Rage Forest (Random Civs),"[692780064106086420, 703469910138814515, 223875529600663552, 723567999784583239]","[431327099480047626, 849334461773774928, 700792986937589781, 715438374357434401]"
1084742,2024-12-11,Arena (Random civs),"[495896198444613643, 714793302582362162, 584450667897290784, 759153260136366131]","[470492953983582219, 317357930796023828, 695309066771365970, 321600706769584128]"
1084381,2024-12-10,Oasis(Random Civs),"[631896735337152525, 463259002596360203, 568705990489276426, 759153260136366131]","[542430914836168744, 700792986937589781, 715438374357434401, 945283728643608619]"
1084353,2024-12-10,Crater,"[697862073173934161, 463259002596360203, 568705990489276426, 715438374357434401]","[699611550423711766, 700792986937589781, 759153260136366131, 1229885069217370293]"
1084313,2024-12-10,Steppe (Random Civs),"[697862073173934161, 635025856313557033, 463259002596360203, 715438374357434401]","[699611550423711766, 542430914836168744, 700792986937589781, 759153260136366131]"
1084296,2024-12-10,Golden Pit,"[1286707470802227285, 542430914836168744, 463259002596360203, 700792986937589781]","[657452537506562069, 723567999784583239, 759153260136366131, 715438374357434401]"
1084294,2024-12-10,Arena Island (NC Zone) (Random Civs),"[714793302582362162, 631896735337152525, 503759402206101545, 698943503509618729]","[695309066771365970, 584450667897290784, 568705990489276426, 1229885069217370293]"
1084283,2024-12-10,Enclosed- Random Civs,"[657452537506562069, 700792986937589781, 759153260136366131, 715438374357434401]","[1286707470802227285, 542430914836168744, 229635376212475904, 723567999784583239]"
1084279,2024-12-10,Enclosed- Random Civs,"[849334461773774928, 503759402206101545, 446632506934951938, 1229885069217370293]","[695309066771365970, 584450667897290784, 568705990489276426, 321600706769584128]"
1084272,2024-12-10,Hideout(Random Civs),"[431327099480047626, 238042803093897216, 1286707470802227285, 542430914836168744]","[314461722817593345, 657452537506562069, 700792986937589781, 698943503509618729]"
1084256,2024-12-10,Ghost Lake,"[714793302582362162, 584450667897290784, 759153260136366131, 1229885069217370293]","[229635376212475904, 723567999784583239, 1291708538573291523, 715438374357434401]"
1084254,2024-12-10,Ghost Lake,"[410863622139412482, 695309066771365970, 631896735337152525, 568705990489276426]","[495896198444613643, 849334461773774928, 503759402206101545, 321600706769584128]"
1084235,2024-12-10,Land Madness,"[495896198444613643, 695309066771365970, 723567999784583239, 759153260136366131]","[410863622139412482, 635025856313557033, 714793302582362162, 358570022400032768]"
1083924,2024-12-09,Kawasan (Random Civs),"[317357930796023828, 542430914836168744, 631896735337152525, 568705990489276426]","[716142389902704691, 503759402206101545, 715438374357434401, 1229885069217370293]"
1083897,2024-12-09,Runestones( Random Civs),"[238042803093897216, 699611550423711766, 714793302582362162, 631896735337152525]","[317357930796023828, 635025856313557033, 542430914836168744, 512487301717295104]"
1083884,2024-12-09,Arabia,"[238042803093897216, 699611550423711766, 723567999784583239, 568705990489276426]","[443955685227626517, 317357930796023828, 542430914836168744, 715438374357434401]"
1083864,2024-12-09,African Clearing (Random Civs),"[635025856313557033, 512487301717295104, 463259002596360203, 759153260136366131]","[699611550423711766, 714793302582362162, 631896735337152525, 715438374357434401]"
1083841,2024-12-09,Nomad (Random Civs),"[699611550423711766, 714793302582362162, 715438374357434401, 759153260136366131]","[695309066771365970, 631896735337152525, 463259002596360203, 1291708538573291523]"
1083816,2024-12-09,Arena (Random civs),"[725758030221934692, 697862073173934161, 714677532665839667, 759153260136366131]","[699611550423711766, 695309066771365970, 512487301717295104, 714793302582362162]"
1083795,2024-12-09,Serengeti,"[332985391546236928, 695309066771365970, 223875529600663552, 759153260136366131]","[725758030221934692, 697862073173934161, 699611550423711766, 714677532665839667]"
1083794,2024-12-09,Mega Random (Random Civs),"[1286707470802227285, 714793302582362162, 304272299534581762, 463259002596360203]","[495896198444613643, 635025856313557033, 715438374357434401, 1291708538573291523]"
1083783,2024-12-09,Regicide Fortress (Random Civs),"[1286707470802227285, 317357930796023828, 463259002596360203, 723567999784583239]","[332985391546236928, 715438374357434401, 1291708538573291523, 1229885069217370293]"
1083780,2024-12-09,Oasis(Random Civs),"[495896198444613643, 695309066771365970, 568705990489276426, 759153260136366131]","[697862073173934161, 699611550423711766, 223875529600663552, 714793302582362162]"
1083767,2024-12-09,Valley,"[697862073173934161, 223875529600663552, 715438374357434401, 759153260136366131]","[317357930796023828, 714793302582362162, 698943503509618729, 1291708538573291523]"
1083740,2024-12-09,Land Nomad (Random Civs),"[635025856313557033, 695309066771365970, 631896735337152525, 568705990489276426]","[495896198444613643, 304272299534581762, 700792986937589781, 584239778740961299]"
1083363,2024-12-08,Chaos Pit (Random Civs),"[542430914836168744, 631896735337152525, 463259002596360203, 568705990489276426]","[635025856313557033, 700792986937589781, 503759402206101545, 1229885069217370293]"
1083369,2024-12-08,Land madness,"[431327099480047626, 386965257660399619, 568857045080473601, 317357930796023828]","[314461722817593345, 522200099783311360, 464205461407924225, 229635376212475904]"
1083363,2024-12-08,Chaos Pit (Random Civs),"[512487301717295104, 631896735337152525, 463259002596360203, 568705990489276426]","[635025856313557033, 700792986937589781, 503759402206101545, 1229885069217370293]"
